,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral
disapproval,-0.1038504291137075,-0.0533594973437329,0.0198708975865606,0.0966549501798264,-0.0676992511102037,-0.0312532943160949,-0.0145388927718203,-0.0482351724245234,-0.0347326744995962,0.043970707182377,1.0,0.056687390464895,0.0002030566166045,-0.0638768690350181,-0.0151969472869795,-0.0723371730463048,-0.0129919365079431,-0.0747201650279065,-0.0626541281655113,-0.0149909445143136,-0.0462550009623702,-0.0270029757380335,-0.008785153356667,-0.016926813772108,-0.0143880554367634,-0.0169212985367964,-0.0414288261489544,0
disgust,-0.0629993893982688,-0.0343672946868717,0.1292560521876913,0.1305542585144262,-0.0487874466621895,-0.0370603506462059,-0.0281231329308352,-0.0336759535560443,-0.0270105071815786,0.0442021543797281,0.056687390464895,1.0,0.0631863905896707,-0.0441080136793559,0.0380941519278398,-0.0516356951004618,0.0060948320609939,-0.0516182005190137,-0.046384949451767,0.0203320462892386,-0.0359345856675787,-0.0158669238354781,-0.0190247754161837,-0.0182326810985212,-0.0001543020305472,0.0053196932325461,-0.0244225023004222,0
embarrassment,-0.0413630603248754,-0.0097512069362329,0.0124493983531551,0.0313131995003825,-0.0400849395862684,-0.0138395364851736,-0.0086470531815878,-0.0092522624166919,-0.0208979368899182,0.0606351673188311,0.0002030566166045,0.0631863905896707,1.0,-0.0274544507140296,0.0162060518457559,-0.0310973256032023,0.0155111964000729,-0.0300663025002188,-0.027525765294969,0.0584634899035952,-0.0220373957409289,-0.0062411347398647,0.0013248547816983,-0.0115048197511763,0.0736067262289261,0.0325516559475098,-0.0085340998850106,0
excitement,0.0568404011828907,-0.0003772979686347,-0.0502676886151145,-0.0633305958227627,-0.0205242785585207,-0.0290148883699721,-0.0408461044796749,-0.0124212809831003,0.0052587587838065,-0.0504400543643644,-0.0638768690350181,-0.0441080136793559,-0.0274544507140296,1.0,-0.0271318198962517,-0.0059629281741226,-0.0154412284828673,0.1755295368568258,0.0262871159310244,-0.0154775162948119,0.0042640124538446,0.0160253413661627,-0.031609773793639,0.0027843575579405,-0.0279368926715934,-0.0443092150036774,0.0566923423913058,0
fear,-0.043411726198881,-0.0281436980090822,-0.0084749444069553,-0.0129511659081143,-0.0380124549678741,-0.0084655343110587,-0.0144193838396363,-0.0257387064418058,-0.019457151746287,0.0117647319976333,-0.0151969472869795,0.0380941519278398,0.0162060518457559,-0.0271318198962517,1.0,-0.0326502348937632,0.0225368787299591,-0.0341014435108114,-0.0301761246236686,0.2790723799234562,-0.0206972332487868,-0.0132262263620291,-0.0078353103008487,-0.0070475276349752,-0.0066177230296635,0.0291351168075831,0.0024179945842845,0
gratitude,0.0511559930594851,-0.0284574356128975,-0.065917054603964,-0.0804823108094468,-0.0356110410536864,-0.0113916042617951,-0.0486810530033664,-0.0563213891075094,-0.0153457321267628,-0.0628452696791194,-0.0723371730463048,-0.0516356951004618,-0.0310973256032023,-0.0059629281741226,-0.0326502348937632,1.0,-0.0132125939988632,0.025746247326657,-0.0278261966584262,-0.0247804658435378,0.005515509945965,0.0217301986302354,-0.0255933656741887,0.0288817288460859,-0.0056895958599231,-0.0450411763236569,-0.0371834078827597,0
grief,-0.0152546519874529,-0.0134348223538203,0.0004385581685601,0.0001335039868205,-0.0253985413133984,0.0024178427148998,-0.0108720069273013,-0.0138819713638171,-0.0059962362169,0.0331228514880483,-0.0129919365079431,0.0060948320609939,0.0155111964000729,-0.0154412284828673,0.0225368787299591,-0.0132125939988632,1.0,-0.0159758793466029,-0.0158435661507949,0.0221099081643588,-0.0123184663505154,-0.000178723672597,-0.0078336167754177,-0.0024157414325617,0.0472015807265925,0.1286681497108011,-0.0031551273552361,0
joy,0.0520810940825357,0.0777299453406844,-0.0652356332808009,-0.0839138798991118,-0.0141857717272796,-0.0027748887064052,-0.0587203964521756,-0.0542418752524968,-0.0035474112435996,-0.055489639998446,-0.0747201650279065,-0.0516182005190137,-0.0300663025002188,0.1755295368568258,-0.0341014435108114,0.025746247326657,-0.0159758793466029,1.0,0.0674458448811146,-0.0239718015454494,0.0059000098402135,0.049944024012008,-0.0268614562355918,0.0550537570472737,-0.0306646464357276,-0.0438476744314547,-0.0142179700078083,0
love,0.0617025003781403,-0.020437800674614,-0.0554450897422659,-0.0739217783915566,-0.0270056728717124,0.0065818430461848,-0.04882320835039,-0.0473445009635336,0.0159229185185941,-0.0514338099972758,-0.0626541281655113,-0.046384949451767,-0.027525765294969,0.0262871159310244,-0.0301761246236686,-0.0278261966584262,-0.0158435661507949,0.0674458448811146,1.0,-0.0258468907941981,-0.0117842260370036,-0.010641542279574,-0.0422611531614468,-0.0121419348028726,-0.0262835806305832,-0.0406488661863591,-0.0364273651344174,0
nervousness,-0.0374623707791539,-0.025279077124505,-0.0082597994507781,-0.0025561038320816,-0.0322491131416284,0.0068684782646488,-0.0036725139651435,-0.0139138806536244,-0.0113002477766235,0.0532318013662524,-0.0149909445143136,0.0203320462892386,0.0584634899035952,-0.0154775162948119,0.2790723799234562,-0.0247804658435378,0.0221099081643588,-0.0239718015454494,-0.0258468907941981,1.0,-0.0132119644098562,-0.0102232771501914,-0.0031767232670544,0.0073110419562794,0.0087949970793966,0.0599571169295189,-0.0075550608067371,0
optimism,-0.0061866072495595,-0.0289618878866951,-0.0583907787741392,-0.0581491829441822,0.0280182836242704,0.091453831627181,-0.0423225659822477,-0.0387257210936344,0.1279553128399025,-0.0355069200222017,-0.0462550009623702,-0.0359345856675787,-0.0220373957409289,0.0042640124538446,-0.0206972332487868,0.005515509945965,-0.0123184663505154,0.0059000098402135,-0.0117842260370036,-0.0132119644098562,1.0,0.0317210600034048,-0.0131618979372611,0.0024553006872398,-0.0009595085003646,-0.0238420546018532,-0.0323008225830305,0
pride,0.0806765297428786,-0.0180635171431823,-0.0246789443151539,-0.0270369930513153,0.0065030983096388,0.0027763041174068,-0.0216044116930774,-0.0200633476281987,-0.0012912125377423,-0.0171086793548797,-0.0270029757380335,-0.0158669238354781,-0.0062411347398647,0.0160253413661627,-0.0132262263620291,0.0217301986302354,-0.000178723672597,0.049944024012008,-0.010641542279574,-0.0102232771501914,0.0317210600034048,1.0,-0.013366991662994,0.0143031833774086,-0.0118464398848808,-0.0194049196482606,-0.0110478908950577,0
realization,-0.057094609810873,-0.0173683601572834,-0.0460291022997873,-0.0249659056463324,0.0411013925866188,-0.0212251768881461,-0.0026665671175915,-0.01472145765404,-0.0140063739229643,0.0095209825864021,-0.008785153356667,-0.0190247754161837,0.0013248547816983,-0.031609773793639,-0.0078353103008487,-0.0255933656741887,-0.0078336167754177,-0.0268614562355918,-0.0422611531614468,-0.0031767232670544,-0.0131618979372611,-0.013366991662994,1.0,0.0009999618045312,0.0025768011538183,-0.0014156842986861,0.0297617802099155,0
relief,-0.0087229609719807,-0.0142505296385996,-0.023096783786903,-0.02431258640272,0.0128581088895785,0.0263959188570392,-0.0227321871461575,-0.0256296528313144,-0.0125400468886489,-0.0172124630031116,-0.016926813772108,-0.0182326810985212,-0.0115048197511763,0.0027843575579405,-0.0070475276349752,0.0288817288460859,-0.0024157414325617,0.0550537570472737,-0.0121419348028726,0.0073110419562794,0.0024553006872398,0.0143031833774086,0.0009999618045312,1.0,-0.0092356862955391,-0.0130590159124022,-0.0115607341970839,0
remorse,-0.0433477918470945,-0.0229494030025456,-0.0217243458315366,-0.019260274888085,-0.0291697794900911,0.01532989599661,-0.0109605420604339,-0.0149616037515745,-0.0125724800287538,0.0362897243189022,-0.0143880554367634,-0.0001543020305472,0.0736067262289261,-0.0279368926715934,-0.0066177230296635,-0.0056895958599231,0.0472015807265925,-0.0306646464357276,-0.0262835806305832,0.0087949970793966,-0.0009595085003646,-0.0118464398848808,0.0025768011538183,-0.0092356862955391,1.0,0.1520930856330133,-0.0187811533091491,0
sadness,-0.0734092302270922,-0.0382233616196054,-0.0224739229894852,-0.0165013920471157,-0.0606171473719607,0.011939048153766,-0.042995676788571,-0.038804243850676,-0.0185181428491436,0.212540318656757,-0.0169212985367964,0.0053196932325461,0.0325516559475098,-0.0443092150036774,0.0291351168075831,-0.0450411763236569,0.1286681497108011,-0.0438476744314547,-0.0406488661863591,0.0599571169295189,-0.0238420546018532,-0.0194049196482606,-0.0014156842986861,-0.0130590159124022,0.1520930856330133,1.0,-0.0299045264434304,0
surprise,-0.0131645816360426,-0.0223046512139694,-0.0254904054713287,-0.0343363721456693,-0.0520260829809897,-0.0384724510946351,0.010076970981434,0.0410025343710722,-0.0260671849425122,-0.0181217627097198,-0.0414288261489544,-0.0244225023004222,-0.0085340998850106,0.0566923423913058,0.0024179945842845,-0.0371834078827597,-0.0031551273552361,-0.0142179700078083,-0.0364273651344174,-0.0075550608067371,-0.0323008225830305,-0.0110478908950577,0.0297617802099155,-0.0115607341970839,-0.0187811533091491,-0.0299045264434304,1.0,0
neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
